amfi_code,alpha,beta
100016,3.747580763443281,-0.058268431438808936
100025,4.281792031506088,0.0011582183155281435
100033,27.19535450128533,0.0051035258305283
101206,21.399784776051213,0.021086316250128034
101207,10.897091901704538,-0.06528924788351524
101208,6.086145795787115,0.00026670968338238357
102885,17.048756803412697,-0.019486785689474536
102886,2.8969397866379443,-0.0421250290218943
102887,16.211256794033254,0.016682689437770806
118632,21.829397904608644,-0.008353832126962014
118633,15.643835948169668,-0.03663900671860934
118634,17.50072167561127,0.10349663691337589
118635,15.136354648239239,-0.0014335213897801215
118636,5.074772999976104,0.0012566742731558499
119092,6.899529821677549,0.009730745001153611
119093,8.232801295222094,0.02588321244009315
119094,26.07666908004223,-0.06626542862803757
119095,4.801595363775955,-0.06695117463929201
119120,5.620895216638369,-0.006413850728276474
119551,23.201007160635083,-0.03175144113890974
119552,19.86859936686296,-0.026159307513513412
119598,30.336965386983323,-0.02319606204405971
119599,4.882421594553985,0.062001804382671666
120503,17.703302365844074,-0.040268952369820595
120504,21.19482701352573,0.016232169761417007
120505,29.26358334175106,0.000549004250631735
120506,16.25385327998104,0.041896462728119754
120507,6.746210411099539,-0.00044409263297072297
120841,13.042924450705446,0.036356399022199795
120842,7.80443887615508,0.018056874208118173
120843,27.330465038306055,-0.022829569792426528
120844,6.4556774953759986,-0.0004007442394784006
125497,17.729754927531765,0.04882040425957738
125498,11.98910097121797,0.009054412621739182
148567,26.98375144191807,0.023683558075848637
148568,20.873010086942337,-0.02638771994384303
148569,28.27036785246582,0.018133884083859228
149322,13.173190226099432,-0.0040502711300065145
149323,26.598577542043046,-0.00252300466469923
149324,30.05787817097677,0.011455159960520699
